date,symbol,name,shares,price,pl_pct,pl_usd,pl_twd,year,quarter,yq,cost_usd,income_usd,type,fee,tax
2025-01-06,SMR,NuScale Power,280.0,23.5,0.254857079586043,1335.0,42052.5,2025.0,1.0,2025Q1,5238.23,6573.23,賣出,0.0,0.0
2024-11-21,SMR,NuScale Power,23.0,28.0,0.214926444205239,113.81,3585.015,2024.0,4.0,2024Q4,529.53,643.34,賣出,0.0,0.0
2025-02-18,MU,Micron Technology,55.0,107.0,0.183487771440995,911.469999999999,28711.305,2025.0,1.0,2025Q1,4967.47,5878.94,賣出,0.0,0.0
2025-02-14,NVDA,NVIDIA,40.0,138.3,0.149040440794261,716.81,22579.515,2025.0,1.0,2025Q1,4809.5,5526.31,賣出,0.0,0.0
2025-03-17,MU,Micron Technology,55.0,103.5,0.122721152365421,621.589999999999,19580.085,2025.0,1.0,2025Q1,5065.06,5686.65,賣出,0.0,0.0
2025-03-14,NVDA,NVIDIA,30.0,121.0,0.133844037270965,428.06,13483.89,2025.0,1.0,2025Q1,3198.2,3626.26,賣出,0.0,0.0
2025-04-09,SMR,NuScale Power,100.0,16.35,-0.17716551300265,-351.67,-11077.605,2025.0,2.0,2025Q2,1984.98,1633.31,賣出,0.0,0.0
2025-03-28,MSFT,Microsoft,10.0,377.9801,-0.0498393294363068,-198.06,-6238.89,2025.0,1.0,2025Q1,3973.97,3775.91,賣出,0.0,0.0
2025-04-09,SMR,NuScale Power,150.0,16.1,-0.189747706113895,-564.97,-17796.555,2025.0,2.0,2025Q2,2977.48,2412.51,賣出,0.0,0.0
2025-04-09,SMR,NuScale Power,100.0,16.3,-0.17967939223569,-356.66,-11234.79,2025.0,2.0,2025Q2,1984.98,1628.32,賣出,0.0,0.0
2025-04-09,NVDA,NVIDIA,10.0,111.13,0.0904992043378324,92.1300000000001,2902.095,2025.0,2.0,2025Q2,1018.02,1110.15,賣出,0.0,0.0
2025-04-09,NVDA,NVIDIA,10.0,112.03,0.164606227106227,158.18,4982.67,2025.0,2.0,2025Q2,960.96,1119.14,賣出,0.0,0.0
2025-04-09,MU,Micron Technology,40.0,74.13,0.0043399540236119,12.7999999999997,403.199999999991,2025.0,2.0,2025Q2,2949.34,2962.14,賣出,0.0,0.0
2025-04-09,NVDA,NVIDIA,20.0,110.13,0.0733055291334357,150.28,4733.81999999999,2025.0,2.0,2025Q2,2050.05,2200.33,賣出,0.0,0.0
2025-04-24,NVDA,NVIDIA,10.0,106.13,0.0964249149404842,93.24,2937.06,2025.0,2.0,2025Q2,966.97,1060.21,賣出,0.0,0.0
2025-04-09,MSFT,Microsoft,10.0,384.7,0.0156615870901585,59.2599999999998,1866.68999999999,2025.0,2.0,2025Q2,3783.78,3843.04,賣出,0.0,0.0
2025-05-01,SMR,NuScale Power,300.0,17.5,0.107427615797831,508.76,16025.94,2025.0,2.0,2025Q2,4735.84,5244.6,賣出,0.0,0.0
2025-04-24,MU,Micron Technology,10.0,77.13,0.160986047072296,106.84,3365.46,2025.0,2.0,2025Q2,663.66,770.5,賣出,0.0,0.0
2025-05-13,MRVL,Marvell Technology,10.0,66.5,-0.0250227479526842,-17.05,-537.074999999999,2025.0,2.0,2025Q2,681.38,664.33,賣出,0.0,0.0
