symbol,name,shares,avg_cost,accum_div
006208,富邦台50,566.0,122.07508837,4878.0
00878,國泰永續高股息,2765.0,22.6947559,6239.0
00881,國泰台灣科技龍頭,206.0,55.3543689,0.0
